vessel_id,vessel_name,current_region,route_corridor,cargo_type,value_usd,priority,status,origin_port,destination_port
V00001,Strait-001,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,8517500.00,Critical,At Sea,Los Angeles,Singapore
V00002,Strait-002,Strait of Malacca,Singapore-Westbound,Crude Oil,24035000.00,Critical,In Transit,Houston,London
V00003,Strait-003,Strait of Malacca,Singapore-Westbound,Consumer Electronics,6452500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00004,Strait-004,Strait of Malacca,Singapore-Westbound,Medical Supplies,3270000.00,High,Customs Hold,Busan,Shanghai
V00005,Strait-005,Strait of Malacca,Singapore-Westbound,Automotive Components,4187500.00,High,Scheduled,Yokohama,Jebel Ali
V00006,Strait-006,Strait of Malacca,Singapore-Westbound,Industrial Machinery,5905000.00,Medium,At Sea,Kaohsiung,Panama City
V00007,Strait-007,Strait of Malacca,Singapore-Westbound,Battery Cells,7322500.00,High,In Transit,Dubai,Suez
V00008,Strait-008,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,2740000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00009,Strait-009,Strait of Malacca,Singapore-Westbound,LNG Equipment,9757500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00010,Strait-010,Strait of Malacca,Singapore-Westbound,Telecom Hardware,5475000.00,High,Scheduled,Hamburg,Manila
V00011,Strait-011,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,8692500.00,Critical,At Sea,Los Angeles,Singapore
V00012,Strait-012,Strait of Malacca,Singapore-Westbound,Crude Oil,24210000.00,Critical,In Transit,Houston,London
V00013,Strait-013,Strait of Malacca,Singapore-Westbound,Consumer Electronics,6627500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00014,Strait-014,Strait of Malacca,Singapore-Westbound,Medical Supplies,3445000.00,High,Customs Hold,Busan,Shanghai
V00015,Strait-015,Strait of Malacca,Singapore-Westbound,Automotive Components,4362500.00,High,Scheduled,Yokohama,Jebel Ali
V00016,Strait-016,Strait of Malacca,Singapore-Westbound,Industrial Machinery,6080000.00,Medium,At Sea,Kaohsiung,Panama City
V00017,Strait-017,Strait of Malacca,Singapore-Westbound,Battery Cells,7497500.00,High,In Transit,Dubai,Suez
V00018,Strait-018,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,2915000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00019,Strait-019,Strait of Malacca,Singapore-Westbound,LNG Equipment,9932500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00020,Strait-020,Strait of Malacca,Singapore-Westbound,Telecom Hardware,5650000.00,High,Scheduled,Hamburg,Manila
V00021,Strait-021,Strait of Malacca,Singapore-Westbound,Semiconductor Wafers,8867500.00,Critical,At Sea,Los Angeles,Singapore
V00022,Strait-022,Strait of Malacca,Singapore-Westbound,Crude Oil,24385000.00,Critical,In Transit,Houston,London
V00023,Strait-023,Strait of Malacca,Singapore-Westbound,Consumer Electronics,6802500.00,High,Awaiting Berth,Rotterdam,Kaohsiung
V00024,Strait-024,Strait of Malacca,Singapore-Westbound,Medical Supplies,3620000.00,High,Customs Hold,Busan,Shanghai
V00025,Strait-025,Strait of Malacca,Singapore-Westbound,Automotive Components,4537500.00,High,Scheduled,Yokohama,Jebel Ali
V00026,Strait-026,Strait of Malacca,Singapore-Westbound,Industrial Machinery,6255000.00,Medium,At Sea,Kaohsiung,Panama City
V00027,Strait-027,Strait of Malacca,Singapore-Westbound,Battery Cells,7672500.00,High,In Transit,Dubai,Suez
V00028,Strait-028,Strait of Malacca,Singapore-Westbound,Containerized Retail Goods,3090000.00,Medium,Awaiting Berth,Mumbai,Bangkok
V00029,Strait-029,Strait of Malacca,Singapore-Westbound,LNG Equipment,10107500.00,Critical,Customs Hold,Bangkok,Rotterdam
V00030,Strait-030,Strait of Malacca,Singapore-Westbound,Telecom Hardware,5825000.00,High,Scheduled,Hamburg,Manila
